"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
"2023-02-16T10:08:20.000+01:00","24","0.111","0.56","14","20","218"
"2023-02-16T10:08:30.000+01:00","24","0.11","0.59","14","19","218"
"2023-02-16T10:08:40.000+01:00","24","0.109","0.58","14","19","218"
"2023-02-16T10:08:50.000+01:00","24","0.109","0.59","14","19","219"
"2023-02-16T10:09:00.000+01:00","24","0.111","0.57","14","20","218"
"2023-02-16T10:09:10.000+01:00","24","0.111","0.59","14","20","217"
"2023-02-16T10:09:20.000+01:00","25","0.115","0.55","14","21","218"
"2023-02-16T10:09:30.000+01:00","24","0.11","0.58","14","20","218"
"2023-02-16T10:09:40.000+01:00","25","0.113","0.57","14","20","218"
"2023-02-16T10:09:50.000+01:00","24","0.112","0.58","14","20","218"
"2023-02-16T10:10:00.000+01:00","25","0.114","0.56","14","21","218"
"2023-02-16T10:10:10.000+01:00","24","0.11","0.58","14","20","218"
"2023-02-16T10:10:20.000+01:00","24","0.112","0.57","14","20","218"
"2023-02-16T10:10:30.000+01:00","24","0.111","0.58","14","20","218"
"2023-02-16T10:10:40.000+01:00","24","0.11","0.57","14","20","218"
"2023-02-16T10:10:50.000+01:00","24","0.111","0.57","14","20","218"
"2023-02-16T10:11:00.000+01:00","24","0.11","0.57","14","20","218"
"2023-02-16T10:11:10.000+01:00","24","0.111","0.58","14","20","218"
"2023-02-16T10:11:20.000+01:00","25","0.114","0.56","14","21","218"
"2023-02-16T10:11:30.000+01:00","24","0.111","0.58","14","20","218"
"2023-02-16T10:11:40.000+01:00","24","0.111","0.56","14","20","218"
"2023-02-16T10:11:50.000+01:00","24","0.111","0.58","14","20","217"
"2023-02-16T10:12:00.000+01:00","24","0.111","0.62","15","19","218"
"2023-02-16T10:12:10.000+01:00","25","0.113","0.56","14","20","218"
"2023-02-16T10:12:20.000+01:00","25","0.115","0.56","14","21","218"
"2023-02-16T10:12:30.000+01:00","24","0.11","0.58","14","20","218"
"2023-02-16T10:12:40.000+01:00","24","0.11","0.6","14","19","218"
"2023-02-16T10:12:50.000+01:00","24","0.111","0.58","14","20","218"
"2023-02-16T10:13:00.000+01:00","24","0.111","0.58","14","20","218"
"2023-02-16T10:13:10.000+01:00","24","0.111","0.58","14","20","218"
"2023-02-16T10:13:20.000+01:00","24","0.111","0.6","15","19","218"
"2023-02-16T10:13:30.000+01:00","24","0.111","0.58","14","20","218"
"2023-02-16T10:13:40.000+01:00","24","0.111","0.58","14","20","219"
"2023-02-16T10:13:50.000+01:00","24","0.112","0.58","14","20","219"
"2023-02-16T10:14:00.000+01:00","24","0.111","0.57","14","20","218"
"2023-02-16T10:14:10.000+01:00","24","0.112","0.58","14","20","218"
"2023-02-16T10:14:20.000+01:00","26","0.117","0.56","14","21","218"
"2023-02-16T10:14:30.000+01:00","24","0.112","0.61","15","19","219"
"2023-02-16T10:14:40.000+01:00","25","0.112","0.56","14","20","219"
"2023-02-16T10:14:50.000+01:00","25","0.113","0.57","14","20","219"
"2023-02-16T10:15:00.000+01:00","24","0.112","0.58","14","20","219"
"2023-02-16T10:15:10.000+01:00","25","0.113","0.57","14","20","219"
"2023-02-16T10:15:20.000+01:00","25","0.113","0.56","14","20","218"
"2023-02-16T10:15:30.000+01:00","24","0.112","0.57","14","20","218"
"2023-02-16T10:15:40.000+01:00","24","0.112","0.55","13","21","219"
"2023-02-16T10:15:50.000+01:00","25","0.114","0.56","14","21","218"
"2023-02-16T10:16:00.000+01:00","24","0.112","0.58","14","20","218"
"2023-02-16T10:16:10.000+01:00","24","0.111","0.59","14","20","218"
"2023-02-16T10:16:20.000+01:00","24","0.112","0.6","15","20","218"
"2023-02-16T10:16:30.000+01:00","24","0.112","0.57","14","20","218"
"2023-02-16T10:16:40.000+01:00","24","0.112","0.59","15","20","219"
"2023-02-16T10:16:50.000+01:00","25","0.114","0.57","14","20","218"
"2023-02-16T10:17:00.000+01:00","25","0.114","0.57","14","20","218"
"2023-02-16T10:17:10.000+01:00","25","0.114","0.59","15","20","218"
"2023-02-16T10:17:20.000+01:00","25","0.115","0.56","14","21","218"
"2023-02-16T10:17:30.000+01:00","25","0.114","0.57","14","21","218"
"2023-02-16T10:17:40.000+01:00","25","0.113","0.58","14","20","218"
"2023-02-16T10:17:50.000+01:00","25","0.115","0.58","15","21","218"
"2023-02-16T10:18:00.000+01:00","25","0.115","0.57","14","21","218"
"2023-02-16T10:18:10.000+01:00","25","0.114","0.58","15","20","218"
"2023-02-16T10:18:20.000+01:00","25","0.115","0.56","14","21","218"
"2023-02-16T10:18:30.000+01:00","25","0.115","0.57","14","21","218"
"2023-02-16T10:18:40.000+01:00","25","0.113","0.58","14","20","218"
"2023-02-16T10:18:50.000+01:00","25","0.115","0.56","14","21","217"
"2023-02-16T10:19:00.000+01:00","25","0.115","0.56","14","21","218"
"2023-02-16T10:19:10.000+01:00","25","0.114","0.57","14","20","218"
"2023-02-16T10:19:20.000+01:00","25","0.117","0.56","14","21","218"
"2023-02-16T10:19:30.000+01:00","26","0.12","0.57","15","21","218"
"2023-02-16T10:19:40.000+01:00","26","0.121","0.58","15","22","217"
"2023-02-16T10:19:50.000+01:00","26","0.121","0.57","15","22","218"
"2023-02-16T10:20:00.000+01:00","26","0.12","0.57","15","22","218"
"2023-02-16T10:20:10.000+01:00","25","0.115","0.56","14","21","218"
"2023-02-16T10:20:20.000+01:00","25","0.114","0.57","14","20","218"
"2023-02-16T10:20:30.000+01:00","25","0.114","0.57","14","20","218"
"2023-02-16T10:20:40.000+01:00","25","0.114","0.57","14","21","219"
"2023-02-16T10:20:50.000+01:00","25","0.113","0.58","14","20","218"
